Rank,Players_name,Players_age,Team,Games_played,Games_started,Minutes_played_per_game,Field_goals_per_game,Field_goal_attempts_per_game,Field_goal_percentage,3_point_field_goals_per_game,3_point_field_goal_attempts_per_game,3_point_field_goal_percentage,2_point_field_goals_per_game,2_point_field_goal_attempts_per_game,2_point_field_goal_percentage,Effective_field_goal_percentage,Free_throws_per_game,Free_throw_attempts_per_game,Free_throw_percentage,Offensive_rebounds_per_game,Defensive_rebounds_per_game,Total_rebounds_per_game,Assists_per_game,Steals_per_game,Blocks_per_game,Turnovers_per_game,Personal_fouls_per_game,Points_per_game,Class,Total_stats,Points_per_game_percentage,Total_rebounds_per_game_percentage,Assists_per_game_percentage,Steals_per_game_percentage,Blocks_per_game_percentage,Turnovers_per_game_percentage,3_point_field_goals_per_game_percentage
86,Jared Butler,21,UTA,42,1,8.6,1.5,3.6,0.404,0.7,2.1,0.318,0.8,1.5,0.524,0.497,0.3,0.4,0.688,0.1,1.0,1.1,1.5,0.4,0.2,0.8,1.1,3.8,2,8.5,0.44705882352941173,0.12941176470588237,0.17647058823529413,0.047058823529411764,0.023529411764705882,0.09411764705882353,0.08235294117647059
87,Jimmy Butler,32,MIA,57,57,33.9,7.0,14.5,0.48,0.5,2.0,0.233,6.5,12.5,0.52,0.496,6.9,8.0,0.87,1.8,4.1,5.9,5.5,1.6,0.5,2.1,1.5,21.4,1,37.5,0.5706666666666667,0.15733333333333335,0.14666666666666667,0.04266666666666667,0.013333333333333334,0.056,0.013333333333333334
88,Devontae Cacok,25,SAS,15,0,8.1,1.4,2.1,0.677,0.0,0.0,0.0,1.4,2.1,0.677,0.677,0.3,0.5,0.571,0.5,2.3,2.8,0.4,0.5,0.5,0.2,1.1,3.1,1,7.500000000000001,0.4133333333333333,0.37333333333333324,0.05333333333333333,0.06666666666666665,0.06666666666666665,0.026666666666666665,0.0
89,Kentavious Caldwell-Pope,28,WAS,77,77,30.2,4.7,10.8,0.435,2.1,5.3,0.39,2.6,5.5,0.48,0.531,1.8,2.0,0.89,0.5,2.9,3.4,1.9,1.1,0.3,1.3,1.8,13.2,2,23.3,0.5665236051502145,0.14592274678111586,0.0815450643776824,0.04721030042918455,0.012875536480686695,0.055793991416309016,0.09012875536480687
90,Facundo Campazzo,30,DEN,65,4,18.2,1.6,4.6,0.361,0.9,3.0,0.301,0.8,1.6,0.476,0.459,0.9,1.2,0.769,0.4,1.4,1.8,3.4,1.0,0.4,1.0,1.9,5.1,2,13.6,0.375,0.1323529411764706,0.25,0.07352941176470588,0.029411764705882356,0.07352941176470588,0.0661764705882353
91,Vlatko ?an?ar,24,DEN,15,1,11.7,1.5,2.7,0.561,0.5,0.8,0.583,1.1,1.9,0.552,0.646,0.6,0.9,0.643,0.5,1.5,2.1,1.1,0.1,0.2,0.6,1.2,4.1,1,8.7,0.47126436781609193,0.24137931034482762,0.12643678160919541,0.01149425287356322,0.02298850574712644,0.06896551724137931,0.0574712643678161
92,Devin Cannady,25,ORL,5,0,29.0,3.0,8.8,0.341,3.0,7.4,0.405,0.0,1.4,0.0,0.511,1.0,1.4,0.714,0.2,1.0,1.2,2.0,1.0,0.6,1.0,1.8,10.0,2,18.799999999999997,0.5319148936170214,0.06382978723404256,0.10638297872340427,0.053191489361702135,0.03191489361702128,0.053191489361702135,0.15957446808510642
93,Clint Capela,27,ATL,74,73,27.6,5.0,8.2,0.613,0.0,0.0,0.0,5.0,8.1,0.614,0.613,1.1,2.3,0.473,3.8,8.1,11.9,1.2,0.7,1.3,0.6,2.2,11.1,0,26.8,0.4141791044776119,0.44402985074626866,0.04477611940298507,0.026119402985074626,0.048507462686567165,0.022388059701492536,0.0
94,Vernon Carey Jr.,20,TOT,7,1,6.3,1.0,1.9,0.538,0.0,0.0,0.0,1.0,1.9,0.538,0.538,0.9,1.9,0.462,1.1,0.6,1.7,0.0,0.3,0.1,0.4,0.6,2.9,0,5.3999999999999995,0.5370370370370371,0.3148148148148148,0.0,0.05555555555555556,0.01851851851851852,0.07407407407407408,0.0
94,Vernon Carey Jr.,20,CHO,4,1,4.3,0.8,1.5,0.5,0.0,0.0,0.0,0.8,1.5,0.5,0.5,0.5,0.8,0.667,0.8,0.5,1.3,0.0,0.3,0.0,0.3,0.3,2.0,0,3.8999999999999995,0.5128205128205129,0.33333333333333337,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0
94,Vernon Carey Jr.,20,WAS,3,0,9.0,1.3,2.3,0.571,0.0,0.0,0.0,1.3,2.3,0.571,0.571,1.3,3.3,0.4,1.7,0.7,2.3,0.0,0.3,0.3,0.7,1.0,4.0,0,7.6,0.5263157894736842,0.3026315789473684,0.0,0.039473684210526314,0.039473684210526314,0.09210526315789473,0.0
95,Jevon Carter,26,TOT,66,3,13.7,1.5,3.8,0.387,1.0,2.6,0.388,0.5,1.3,0.386,0.518,0.2,0.3,0.833,0.2,1.5,1.7,1.5,0.4,0.2,0.5,1.0,4.2,2,9.5,0.4421052631578948,0.17894736842105263,0.15789473684210525,0.042105263157894736,0.021052631578947368,0.05263157894736842,0.10526315789473684
95,Jevon Carter,26,BRK,46,1,12.0,1.3,3.8,0.333,0.9,2.8,0.331,0.3,1.0,0.34,0.454,0.2,0.2,0.7,0.2,1.3,1.5,1.0,0.3,0.2,0.6,1.0,3.6,2,8.1,0.4444444444444445,0.1851851851851852,0.1234567901234568,0.037037037037037035,0.02469135802469136,0.07407407407407407,0.11111111111111112
95,Jevon Carter,26,MIL,20,2,17.7,2.0,4.0,0.506,1.2,2.2,0.558,0.8,1.8,0.444,0.658,0.4,0.4,1.0,0.3,1.9,2.2,2.5,0.5,0.2,0.4,1.1,5.6,2,12.6,0.4444444444444444,0.17460317460317462,0.19841269841269843,0.03968253968253968,0.015873015873015876,0.03174603174603175,0.09523809523809523
96,Wendell Carter Jr.,22,ORL,62,61,29.9,5.8,11.0,0.525,1.1,3.5,0.327,4.7,7.6,0.615,0.576,2.3,3.3,0.691,2.2,8.2,10.5,2.8,0.6,0.7,1.9,2.7,15.0,0,32.6,0.460122699386503,0.3220858895705521,0.08588957055214723,0.01840490797546012,0.021472392638036807,0.05828220858895705,0.03374233128834356
97,Alex Caruso,27,CHI,41,18,28.0,2.5,6.2,0.398,1.0,3.1,0.333,1.5,3.2,0.462,0.48,1.4,1.8,0.795,0.8,2.8,3.6,4.0,1.7,0.4,1.4,2.6,7.4,2,19.499999999999996,0.3794871794871796,0.18461538461538465,0.20512820512820518,0.08717948717948719,0.020512820512820516,0.0717948717948718,0.051282051282051294
98,Willie Cauley-Stein,28,TOT,20,2,9.2,0.8,1.8,0.457,0.1,0.1,0.5,0.8,1.7,0.455,0.471,0.1,0.1,0.5,0.7,1.4,2.0,0.5,0.3,0.2,0.4,1.0,1.7,0,5.2,0.3269230769230769,0.3846153846153846,0.09615384615384615,0.05769230769230769,0.038461538461538464,0.07692307692307693,0.019230769230769232
